id,listing_url,name,picture_url,host_since,neighbourhood,latitude,longitude,bedrooms,square_feet,price,number_of_reviews,review_scores_rating
7228772,https://www.airbnb.com/rooms/7228772,Bright & Beautiful Apartment,https://a0.muscache.com/im/pictures/37f56161-ac42-4215-8aab-1e43c448f64e.jpg?aki_policy=large,2014-06-28,Mission District,37.768887191674914,-122.42405987916307,0,,$155.00,12,96
15501322,https://www.airbnb.com/rooms/15501322,Cozy and spacious room in a great location,https://a0.muscache.com/im/pictures/9cb009d2-7e58-4f0e-8d12-14d57b73ced8.jpg?aki_policy=large,2013-04-02,Mission District,37.7513430565728,-122.42265006283215,1,,$45.00,0,
4624467,https://www.airbnb.com/rooms/4624467,"GorgeousVictorian Rm, TrendyMission",https://a0.muscache.com/im/pictures/60231358/5ca802f1_original.jpg?aki_policy=large,2011-12-13,Mission District,37.755069551371655,-122.41681709924057,1,,$169.00,12,98
856123,https://www.airbnb.com/rooms/856123,Mission Penthouse Master Suite,https://a0.muscache.com/im/pictures/69924409/07ef6c4b_original.jpg?aki_policy=large,2009-05-09,Mission District,37.76220649847767,-122.41989540417708,1,,$186.00,29,100
9490490,https://www.airbnb.com/rooms/9490490,Fabulous Mission Apt. Very Private,https://a0.muscache.com/im/pictures/7f77bb4b-aa26-44c0-abf3-a61261713261.jpg?aki_policy=large,2015-11-13,Mission District,37.75385200146517,-122.41115766043127,1,,$77.00,3,100
865873,https://www.airbnb.com/rooms/865873,"Huge Modern 2BR Apartment, Close to Everything",https://a0.muscache.com/im/pictures/33183511/005507b5_original.jpg?aki_policy=large,2012-04-27,Mission District,37.76251893043086,-122.42428458725807,2,,$250.00,10,98
6834158,https://www.airbnb.com/rooms/6834158,Cute spot in the Mission,https://a0.muscache.com/im/pictures/86455190/e0d2e291_original.jpg?aki_policy=large,2013-04-06,Mission District,37.76531006688854,-122.42469052470317,0,,$235.00,10,96
13846498,https://www.airbnb.com/rooms/13846498,1BR Private Room in Spacious Victorian Home!,https://a0.muscache.com/im/pictures/8e06e41b-c11d-4570-bbba-de77791e9f83.jpg?aki_policy=large,2014-07-06,Mission District,37.76362665987909,-122.42538534156691,1,,$80.00,2,80
1101403,https://www.airbnb.com/rooms/1101403,"2b/2b modern condo, super location",https://a0.muscache.com/im/pictures/27631746/1c9c2484_original.jpg?aki_policy=large,2012-05-09,Mission District,37.768140604349085,-122.42536756459259,2,,$300.00,22,100
15566812,https://www.airbnb.com/rooms/15566812,Spacious Mission 1-BR,https://a0.muscache.com/im/pictures/430335c4-bce6-496e-95e4-922a8265517c.jpg?aki_policy=large,2011-10-12,Mission District,37.758667648515726,-122.42387997289718,1,,$200.00,1,100
16173016,https://www.airbnb.com/rooms/16173016,Beautiful one bedroom Retreat - Mission District,https://a0.muscache.com/im/pictures/a68f5ec0-0aa4-4b76-8d8c-831a767db107.jpg?aki_policy=large,2016-11-29,Mission District,37.7614820537443,-122.40925392305105,1,,$200.00,4,95
63405,https://www.airbnb.com/rooms/63405,Private Studio in Mission,https://a0.muscache.com/im/pictures/15128569/46d3e316_original.jpg?aki_policy=large,2010-06-12,Mission District,37.75399608902932,-122.41770632143597,1,500,$125.00,138,93
16857004,https://www.airbnb.com/rooms/16857004,Private room in beautiful Mission apartment,https://a0.muscache.com/im/pictures/6b7d418b-bd51-4553-ade3-47dd6cb4b3b7.jpg?aki_policy=large,2016-11-13,Mission District,37.75328433021465,-122.41185789807965,0,,$40.00,0,
11011745,https://www.airbnb.com/rooms/11011745,Superbowl Apt. near Frway and Bart!,https://a0.muscache.com/im/pictures/e6a5ceca-8f77-436e-bbd3-00ff0318cc8f.jpg?aki_policy=large,2013-01-09,Mission District,37.7502826091409,-122.41561941732043,3,,$500.00,0,
17697262,https://www.airbnb.com/rooms/17697262,Twin Beds in Prime Central Location,https://a0.muscache.com/im/pictures/f24c1fa7-059c-4a33-b5ba-7b92abc2dee8.jpg?aki_policy=large,2013-01-26,Mission District,37.758131816496665,-122.41411774554673,1,,$79.00,3,100
